row	call	date.time	date	site	year	detection	time	temp.med	rain.med	cloud.med	vel.wind.med	humid.rel.med	dir.wind.deg
151	ter	09/02/2017 08:00	09/02/2017	S1	y2017	149	08:00:00	18.6	0	3	1	83	0
154	ter	10/02/2017 08:00	10/02/2017	S1	y2017	54	08:00:00	20.8	0	2	5	73	90
158	ter	11/02/2017 08:00	11/02/2017	S1	y2017	302	08:00:00	21	0	1	3	73	180
162	ter	12/02/2017 08:00	12/02/2017	S1	y2017	19	08:00:00	19.1	0	3	4	81	180
166	ter	24/02/2017 08:00	24/02/2017	S1	y2017	88	08:00:00	18	1,4	5	2	85	180
168	ter	25/02/2017 07:00	25/02/2017	S1	y2017	216	07:00:00	17.7	0	4	2	87	180
170	ter	26/01/2017 07:00	26/01/2017	S2	y2017	6	07:00:00	16.2	0	4	2	82	0
173	ter	27/01/2017 08:00	27/01/2017	S2	y2017	71	08:00:00	17	0	3	1	75	0
176	ter	28/01/2017 08:00	28/01/2017	S2	y2017	173	08:00:00	17.3	0	3	1	80	0
179	ter	29/01/2017 07:00	29/01/2017	S2	y2017	252	07:00:00	20.3	0	2	5	67	135
180	ter	30/01/2017 06:00	30/01/2017	S2	y2017	32	06:00:00	19.6	0	2	4	74	135
182	ter	31/01/2017 07:00	31/01/2017	S2	y2017	31	07:00:00	18	0	2	2	75	0
186	ter	06/02/2017 08:00	06/02/2017	S2	y2017	19	08:00:00	20.4	0	2	1	75	0
188	ter	07/02/2017 08:00	07/02/2017	S2	y2017	30	08:00:00	17.6	0	3	2	78	0
191	ter	08/02/2017 07:00	08/02/2017	S2	y2017	17	07:00:00	18.4	0	4	2	85	0
195	ter	09/02/2017 08:00	09/02/2017	S2	y2017	25	08:00:00	18.6	0	3	1	83	0
199	ter	10/02/2017 08:00	10/02/2017	S2	y2017	48	08:00:00	20.8	0	2	5	73	90
205	ter	11/02/2017 08:00	11/02/2017	S2	y2017	323	08:00:00	21	0	1	3	73	180
208	ter	12/02/2017 08:00	12/02/2017	S2	y2017	69	08:00:00	19.1	0	3	4	81	180
209	ter	24/02/2017 08:00	24/02/2017	S2	y2017	27	08:00:00	18	1,4	5	2	85	180
212	ter	25/02/2017 07:00	25/02/2017	S2	y2017	234	07:00:00	17.7	0	4	2	87	180
214	ter	26/01/2017 06:00	26/01/2017	S3	y2017	9	06:00:00	16.2	0	4	2	82	0
217	ter	27/01/2017 08:00	27/01/2017	S3	y2017	127	08:00:00	17	0	3	1	75	0
221	ter	28/01/2017 08:00	28/01/2017	S3	y2017	149	08:00:00	17.3	0	3	1	80	0
223	ter	29/01/2017 07:00	29/01/2017	S3	y2017	332	07:00:00	20.3	0	2	5	67	135
225	ter	30/01/2017 07:00	30/01/2017	S3	y2017	20	07:00:00	19.6	0	2	4	74	135
228	ter	31/01/2017 08:00	31/01/2017	S3	y2017	42	08:00:00	18	0	2	2	75	0
230	ter	06/02/2017 07:00	06/02/2017	S3	y2017	53	07:00:00	20.4	0	2	1	75	0
232	ter	07/02/2017 07:00	07/02/2017	S3	y2017	56	07:00:00	17.6	0	3	2	78	0
234	ter	08/02/2017 08:00	08/02/2017	S3	y2017	334	08:00:00	18.4	0	4	2	85	0
236	ter	09/02/2017 07:00	09/02/2017	S3	y2017	20	07:00:00	18.6	0	3	1	83	0
240	ter	10/02/2017 08:00	10/02/2017	S3	y2017	39	08:00:00	20.8	0	2	5	73	90
245	ter	11/02/2017 08:00	11/02/2017	S3	y2017	322	08:00:00	21	0	1	3	73	180
248	ter	12/02/2017 08:00	12/02/2017	S3	y2017	54	08:00:00	19.1	0	3	4	81	180
252	ter	24/02/2017 08:00	24/02/2017	S3	y2017	595	08:00:00	18	1,4	5	2	85	180
258	ter	25/02/2017 08:00	25/02/2017	S3	y2017	1458	08:00:00	17.7	0	4	2	87	180
261	ter	26/01/2017 08:00	26/01/2017	S4	y2017	23	08:00:00	16.2	0	4	2	82	0
264	ter	27/01/2017 08:00	27/01/2017	S4	y2017	116	08:00:00	17	0	3	1	75	0
268	ter	28/01/2017 08:00	28/01/2017	S4	y2017	182	08:00:00	17.3	0	3	1	80	0
271	ter	29/01/2017 08:00	29/01/2017	S4	y2017	409	08:00:00	20.3	0	2	5	67	135
275	ter	30/01/2017 08:00	30/01/2017	S4	y2017	81	08:00:00	19.6	0	2	4	74	135
279	ter	31/01/2017 08:00	31/01/2017	S4	y2017	37	08:00:00	18	0	2	2	75	0
283	ter	06/02/2017 08:00	06/02/2017	S4	y2017	6	08:00:00	20.4	0	2	1	75	0
285	ter	07/02/2017 07:00	07/02/2017	S4	y2017	50	07:00:00	17.6	0	3	2	78	0
287	ter	08/02/2017 07:00	08/02/2017	S4	y2017	76	07:00:00	18.4	0	4	2	85	0
289	ter	09/02/2017 08:00	09/02/2017	S4	y2017	7	08:00:00	18.6	0	3	1	83	0
292	ter	10/02/2017 08:00	10/02/2017	S4	y2017	93	08:00:00	20.8	0	2	5	73	90
295	ter	11/02/2017 08:00	11/02/2017	S4	y2017	379	08:00:00	21	0	1	3	73	180
297	ter	12/02/2017 07:00	12/02/2017	S4	y2017	41	07:00:00	19.1	0	3	4	81	180
300	ter	24/02/2017 08:00	24/02/2017	S4	y2017	234	08:00:00	18	1,4	5	2	85	180
304	ter	25/02/2017 08:00	25/02/2017	S4	y2017	544	08:00:00	17.7	0	4	2	87	180
